id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
102,Old Retired Priest,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],451,Knows,Evelina Harp,Old Retired Priest,0,A Little Nip,22,23,
103,Father Cassidy,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],452,Knows,Evelina Harp,Father Cassidy,1,A Little Nip,23,28,
17,Joseph Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],453,Exchange,Evelina Harp,Joseph Harp,1,A Little Nip,23,23,
17,Joseph Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],460,Knows,Evelina Harp,Joseph Harp,1,A Little Nip,24,24,
17,Joseph Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],468,Exchange,Evelina Harp,Joseph Harp,1,A Little Nip,25,30,
16,Clemence Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],469,Exchange,Evelina Harp,Clemence Harp,1,A Little Nip,26,26,
16,Clemence Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],477,Knows,Evelina Harp,Clemence Harp,1,A Little Nip,27,27,
18,Edward Harp,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],482,Knows,Evelina Harp,Edward Harp,1,A Little Nip,28,29,
19,Geraldine Milk,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],483,Knows,Evelina Harp,Geraldine Milk,1,A Little Nip,28,29,
105,Evelina and Joseph's Friends,3,Evelina Harp,11,A Little Nip,level 2 (sub-section),21,42,Evelina Harp,[NULL],[NULL],485,Knows,Evelina Harp,Evelina and Joseph's Friends,1,A Little Nip,28,28,
