,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
82,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],288,Knows of,Maxine,The white men,0,Tony Loneman (I),18,18,
83,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],293,Knows of,Maxine,Texas Rangers,0,Tony Loneman (I),24,24,
84,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],295,Knows of,Maxine,Oakland Athletics,0,Tony Loneman (I),24,24,
85,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],316,Knows,Maxine,Lucas,1,Dene Oxendene (I),34,34,
86,84,Bill Davis (I),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],430,Knows,Karen,Edwin Black,1,Bill Davis (I),82,83,
87,84,Bill Davis (I),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],501,Knows of,Karen,"""vet on the bus""",1,Bill Davis (I),83,83,
88,101,Edwin Black (I),level 2 (sub-section),62,78,Edwin Black,Edwin Black,[NULL],556,Knows,Karen,Bill Davis,1,Edwin Black (I),64,64,
89,101,Edwin Black (I),level 2 (sub-section),62,78,Edwin Black,Edwin Black,[NULL],564,Exchange,Karen,Edwin Black,1,Edwin Black (I),67,67,
90,101,Edwin Black (I),level 2 (sub-section),62,78,Edwin Black,Edwin Black,[NULL],678,Knows,Karen,Bill Davis,1,Edwin Black (I),72,73,
91,101,Edwin Black (I),level 2 (sub-section),62,78,Edwin Black,Edwin Black,[NULL],680,Knows,Karen,Bill Davis,1,Edwin Black (I),75,75,
92,101,Edwin Black (I),level 2 (sub-section),62,78,Edwin Black,Edwin Black,[NULL],682,Knows of,Karen,Big Oakland Powwow,0,Edwin Black (I),76,76,
93,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],346,Knows,Carlos,Octavio Gomez,1,Calvin Johnson (I),90,92,
94,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],350,Knows of,Carlos,Calvin Johnson's Mom,0,Calvin Johnson (I),91,91,
95,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],352,Exchange,Carlos,Octavio Gomez,1,Calvin Johnson (I),93,97,
96,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],356,Knows,Carlos,Big Oakland Powwow,0,Calvin Johnson (I),95,96,
97,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],408,Knows,Carlos,Daniel Gonzales,1,Calvin Johnson (I),95,95,
98,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],409,Knows,Carlos,Manny Gonzales,1,Calvin Johnson (I),95,95,
99,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],434,Knows of,Carlos,Sixto (Octavio Gomez's Uncle),0,Calvin Johnson (I),94,94,
100,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],435,Exchange,Carlos,Tony Loneman,1,Calvin Johnson (I),96,96,
101,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],505,Knows,Carlos,Sonny,1,Calvin Johnson (I),90,90,
102,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],204,Knows,Octavio Gomez,"Josefina ""Fina"" (Octavio Gomez's Grandmother)",1,Tony Loneman (I),22,22,
103,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],211,Knows of,Octavio Gomez,Big Oakland Powwow,0,Tony Loneman (I),24,24,
104,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],213,Knows of,Octavio Gomez,Big Oakland Powwow,0,Tony Loneman (I),25,26,
105,85,Calvin Johnson (I),level 2 (sub-section),88,97,Calvin Johnson,Calvin Johnson,[NULL],355,Knows,Octavio Gomez,Big Oakland Powwow,0,Calvin Johnson (I),95,96,
