id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
198,"Exchange","visitors at Sagaween's house","cedar bark squid","1","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
199,"Exchange","visitors at Sagaween's house","women singing","1","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
200,"Knows","visitors at Sagaween's house","Sagaween's father (Gisk'aast)","0","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
201,"Exchange","women singing","cedar bark squid","1","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
202,"Knows","women singing","Sagaween's father (Gisk'aast)","0","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
203,"Knows","cedar bark squid","Sagaween's father (Gisk'aast)","0","""Totem Poles of Chief Mountain (Boas)""","1230","1239"
204,"Knows","speaker Abel","Gisk'aast (""Killer Whale Clan"")","0","""the deceased""","1250","1259"
205,"Knows","speaker Abel","Jordan Abel's father","1","""meaning / his father""","1270","1279"
206,"Knows","speaker Abel","Sagaween's father (Gisk'aast)","0","""meaning / his father""","1270","1279"
207,"Knows","speaker Abel","Jordan Abel's father","1","""ground open""","1290","1299"
208,"Knows","speaker Abel","Sagaween's father (Gisk'aast)","0","""ground open""","1290","1299"
209,"Knows","speaker Abel","Jordan Abel's father","1","""and / sung""","1310","1319"
210,"Knows","speaker Abel","Sagaween's father (Gisk'aast)","0","""and / sung""","1310","1319"
211,"Knows","biographical Abel","child Abel","0","""21.04.1985""","1390","1399"
212,"Knows","biographical Abel","Jordan Abel's father","0","""21.04.1985""","1390","1399"
213,"Knows","biographical Abel","Vancouver carvers","0","""21.04.1985""","1390","1399"
214,"Knows","Vancouver carvers","""'Neeskyinwaet"" (Laxgibuu)","1","""21.04.1985""","1390","1399"
215,"Knows","child Abel","Jordan Abel's father","1","""21.04.1985""","1390","1399"
216,"Knows","biographical Abel","real Barbeau","0","""05.08.2011""","1430","1439"
217,"Exchange","biographical Abel","ROM admissions staff member","1","""05.08.2011""","1430","1439"
218,"Knows of","biographical Abel","ROM admissions superiors","0","""05.08.2011""","1430","1439"
219,"Exchange","biographical Abel","Pole of Sagaween","1","""05.08.2011""","1430","1439"
220,"Knows","ROM admissions staff member","ROM admissions superiors","1","""05.08.2011""","1430","1439"
221,"Knows of","ROM admissions staff member","Pole of Sagaween","0","""05.08.2011""","1430","1439"
222,"Exchange","fictional Barbeau","Barton (Laxgibuu)","1","""The place of scraps.""","1630","1639"
223,"Knows of","fictional Barbeau","""His grandson""","0","""The place of scraps.""","1630","1639"
224,"Knows","fictional Barbeau","Sagaween (Laxsgiik)","0","""The place of scraps.""","1630","1639"
225,"Knows","Barton (Laxgibuu)","""His grandson""","0","""The place of scraps.""","1630","1639"
226,"Knows","Barton (Laxgibuu)","Sagaween (Laxsgiik)","1","""The place of scraps.""","1630","1639"
227,"Knows of","fictional Barbeau","""His grandson""","0","""Primitive culture circulates"" (Fictional Barbeau)","1652","1659"
228,"Exchange","fictional Barbeau","Barton (Laxgibuu)","1","""Primitive culture circulates"" (Fictional Barbeau)","1652","1659"
229,"Knows of","fictional Barbeau","Barton (Laxgibuu)","0","""In practice, the civilized world"" (Fictional Barbeau)","1672","1679"
230,"Knows of","fictional Barbeau","""His grandson""","0","""In practice, the civilized world"" (academic voice)","1672","1679"
231,"Knows of","fictional Barbeau","Barton (Laxgibuu)","0","""Contact is precisely the investigation"" (Fictional Barbeau) (scatter)","1712","1719"
232,"Knows of","fictional Barbeau","Barton (Laxgibuu)","0","""culture spirit world"" (scatter)","1730","1739"
233,"Knows of","real Barbeau","James Deans","0","""Coffin Hous"" (text)","1773","1779"
234,"Knows of","real Barbeau","Queen Charlotte","0","""Coffin Hous"" (text)","1773","1779"
235,"Knows","speaker Abel","Sagaween (Laxsgiik)","0","""thedoctrineoftheindianprophet"" (text)","1894","1899"
236,"Knows","Sagaween (Laxsgiik)","""Samedeek"" (Gisk'ansnaat)","1","""Had the old Indian been aware""","1910","1919"
237,"Knows of","Sagaween (Laxsgiik)","nephews of ""Samedeek""","0","""Had the old Indian been aware""","1910","1919"
238,"Exchange","""Samedeek"" (Gisk'ansnaat)","nephews of ""Samedeek""","1","""Had the old Indian been aware""","1910","1919"
239,"Knows","academic voice","Haida","0","""At least this functions"" (academic voice)","1990","1994"
240,"Knows","collage photos","Pole of Sagaween","0","""afeudoverthispole"" (photo)","30","33"
241,"Knows","collage photos","speaker Abel","1","""afeudoverthispole"" (photo)","30","33"
242,"Knows","speaker Abel","Pole of Sagaween","1","""afeudoverthispole"" (text)","34","39"
243,"Knows","speaker Abel","Pole of Sagaween","1","""thepoletransportedtotoronto"" (text)","173","179"
244,"Knows","collage photos","speaker Abel","1","""thepoletransportedtotoronto"" (photo)","170","172"
246,"Knows","collage photos","Pole of Sagaween","0","""thepoletransportedtotoronto"" (photo)","170","172"
247,"Knows","speaker Abel","Pole of Sagaween","1","""removalofthesakauwanpolefromnassriver"" (text)","293","299"
248,"Knows","collage photos","Pole of Sagaween","0","""removalofthesakauwanpolefromnassriver"" (photo)","290","292"
249,"Knows","collage photos","speaker Abel","1","""removalofthesakauwanpolefromnassriver"" (photo)","290","292"
250,"Knows","speaker Abel","Pole of Sagaween","1","""thesilhouetteofapoleontheshoreofnassriver"" (text)","455","459"
251,"Knows","collage photos","speaker Abel","1","""thesilhouetteofapoleontheshoreofnassriver"" (photo)","450","454"
252,"Knows","collage photos","Pole of Sagaween","0","""thesilhouetteofapoleontheshoreofnassriver"" (photo)","450","454"
253,"Knows","collage photos","speaker Abel","1","""R. O. M."" (photo)","570","573"
254,"Knows","collage photos","speaker Abel","1","""themythofthedragonfly"" (photo)","650","652"
255,"Knows","collage photos","speaker Abel","1","""thewoodenspoon"" (photo)","950","955"
256,"Knows","collage photos","speaker Abel","1","illegible collage text (photo)","1070","1077"
257,"Knows","collage photos","Sagaween (Laxsgiik)","0","""totempolesofchiefmountain"" (photo)","1210","1216"
258,"Knows","collage photos","speaker Abel","1","""totempolesofchiefmountain"" (photo)","1210","1216"
259,"Knows","speaker Abel","Sagaween (Laxsgiik)","0","""totempolesofchiefmountain"" (text)","1217","1219"
