
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"1025","Knows of","Evelina Harp","Doctor Cordelia Lochren","0","Confessional","67","67"
"1030","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","The Sisters","68","68"
"1031","Knows","Evelina Harp","Joseph Harp","1","The Sisters","68","68"
"1032","Knows","Evelina Harp","Clemence Harp","1","The Sisters","68","68"
"1033","Knows","Evelina Harp","Geraldine Milk","1","The Sisters","68","68"
"1042","Knows of","Evelina Harp","Severine Milk","0","The Party","68","69"
"1043","Knows of","Evelina Harp","Holy Track","0","The Party","68","70"
"1044","Knows of","Evelina Harp","Emil Buckendorf","0","The Party","68","69"
"1045","Knows of","Evelina Harp","Eugene Wildstrand","0","The Party","68","69"
"1046","Knows","Evelina Harp","Seraph Milk (Mooshum)","1","The Party","68","69"
"1049","Knows of","Evelina Harp","The Lynching","0","The Lochren Farm","63","63"
"1052","Knows of","Evelina Harp","Asiginak","0","The Party","69","70"
"1061","Knows of","Evelina Harp","The Lynching","0","The Party","69","70"
"1062","Knows of","Evelina Harp","Cuthbert Peace","0","The Party","70","70"
"1065","Knows of","Evelina Harp","Farmers (who watched the lynching party)","0","The Party","70","70"
"1067","Exchange","Evelina Harp","Seraph Milk (Mooshum)","1","The Baby","70","71"
"1069","Knows","Evelina Harp","Joseph Harp","1","The Baby","70","70"
"1073","Exchange","Evelina Harp","Clemence Harp","1","The Baby","70","70"
"1074","Exchange","Evelina Harp","Geraldine Milk","1","The Baby","70","70"
"1077","Knows of","Evelina Harp","Oric Hoag","0","The Baby","71","71"
"1078","Knows of","Evelina Harp","Tobek Hess","0","The Baby","71","71"
"1085","Knows of","Evelina Harp","Quintus Fells","0","The Baby","71","71"
"1086","Knows of","Evelina Harp","Colonel Benton Lungsford","0","The Baby","71","71"
