label,width,height,font_size,label_radius
human rights observers,316.80,28.80,24.0,159.05
Ice-T,72.00,28.80,24.0,38.77
Idaho's mother's child,330.00,30.00,25.0,165.68
Illegal Organ Receivers,345.00,30.00,25.0,173.15
immigration lawyer,270.00,30.00,25.0,135.83
Indian Momma,172.80,28.80,24.0,87.59
Indian Mommas (and their kids),432.00,28.80,24.0,216.48
Indians,105.00,30.00,25.0,54.60
Indigenas,135.00,30.00,25.0,69.15
INS,45.00,30.00,25.0,27.04
Isaac Newton Van Nuys,315.00,30.00,25.0,158.21
Jacques Cartier,216.00,28.80,24.0,108.96
Japan America Theatre worker,420.00,30.00,25.0,210.54
Japanese American actors,360.00,30.00,25.0,180.62
Japanese American Gardeners,405.00,30.00,25.0,203.05
Japanese Americans (Abstract),452.40,31.20,26.0,226.74
Japanophile Woman,295.80,34.80,29.0,148.92
Jesse Jackson,187.20,28.80,24.0,94.70
Jesus,78.00,31.20,26.0,42.00
Jesús Guajardo,210.00,30.00,25.0,106.07
jive radio show host,300.00,30.00,25.0,150.75
Joan Didion,165.00,30.00,25.0,83.85
Jocasta,100.80,28.80,24.0,52.42
Joe Coulombe,180.00,30.00,25.0,91.24
Johann Pachelbel,230.40,28.80,24.0,116.10
John Adams,150.00,30.00,25.0,76.49
John Cabot,144.00,28.80,24.0,73.43
John Coltrane,195.00,30.00,25.0,98.65
John Hussong,180.00,30.00,25.0,91.24
John Malpede,180.00,30.00,25.0,91.24
John Mauceri,180.00,30.00,25.0,91.24
José Palacios,195.00,30.00,25.0,98.65
Juan Diego,150.00,30.00,25.0,76.49
Juan Rodriguez Cabrillo,331.20,28.80,24.0,166.22
Juan Valdez,158.40,28.80,24.0,80.50
Julio Iglesias,210.00,30.00,25.0,106.07
Kathleen Welna,210.00,30.00,25.0,106.07
Kay Torres - On-Scene Reporter,576.00,38.40,32.0,288.64
Keenan Ivory Wayans,285.00,30.00,25.0,143.29
Kerry the Technician,588.00,58.80,49.0,295.47
Kid Frost,129.60,28.80,24.0,66.38
Kids (abstract),225.00,30.00,25.0,113.50
kids selling Kleenex,288.00,28.80,24.0,144.72
King Tut,115.20,28.80,24.0,59.37
l'il punk,135.00,30.00,25.0,69.15
L.A. citizens,202.80,31.20,26.0,102.59
L.A. City Crew,201.60,28.80,24.0,101.82
L.A. County Fair attendees,390.00,30.00,25.0,195.58
L.A. Marathoners,230.40,28.80,24.0,116.10
L.A. Street Gangs (abstract),403.20,28.80,24.0,202.11
L.A. Suburbanites,255.00,30.00,25.0,128.38
L.C. Tibbets,180.00,30.00,25.0,91.24
La Brea Woman,195.00,30.00,25.0,98.65
La Chingada,191.40,34.80,29.0,97.27
La Llorona,150.00,30.00,25.0,76.49
La Malinche,165.00,30.00,25.0,83.85
La Malinche's children,330.00,30.00,25.0,165.68
La Migra (Border patrol),360.00,30.00,25.0,180.62
La Raza Cósmica,261.00,34.80,29.0,131.65
LACMA attendees,216.00,28.80,24.0,108.96
Lance Allen Ito,225.00,30.00,25.0,113.50
LAPD,72.00,36.00,30.0,40.25
Larry H. Parker,225.00,30.00,25.0,113.50
Latifundistas,187.20,28.80,24.0,94.70
Lehrer,86.40,28.80,24.0,45.54
Leon Trotsky,180.00,30.00,25.0,91.24
Leonard Bernstein,255.00,30.00,25.0,128.38
Levis Strauss,195.00,30.00,25.0,98.65
liberation theologians,316.80,28.80,24.0,159.05
lines of laborers,244.80,28.80,24.0,123.24
live-in domestics,244.80,28.80,24.0,123.24
living domestics,230.40,28.80,24.0,116.10
Local Health Department Inspectors,510.00,30.00,25.0,255.44
Los Angeles Department of Water and Power,590.40,28.80,24.0,295.55
Louis XIV,135.00,30.00,25.0,69.15
Lover One,135.00,30.00,25.0,69.15
Lover Two,135.00,30.00,25.0,69.15
Luey the Cameraman,388.80,43.20,36.0,195.60
Luis Alfaro,191.40,34.80,29.0,97.27
Lupe,81.60,40.80,34.0,45.62
MacNeil,100.80,28.80,24.0,52.42
Malcolm X,129.60,28.80,24.0,66.38
Mama cookin' at the hot dog stand,495.00,30.00,25.0,247.95
Mama on the northbound,330.00,30.00,25.0,165.68
man with briefcase,270.00,30.00,25.0,135.83
man with stalled truck,330.00,30.00,25.0,165.68
Mano Blanca Death Squad,358.80,31.20,26.0,180.08
Manzanar Murakami,805.80,94.80,79.0,405.68
Manzanar's family,255.00,30.00,25.0,128.38
Manzanar's friends,270.00,30.00,25.0,135.83
Manzanar's Parents,270.00,30.00,25.0,135.83
Manzanar's patients,285.00,30.00,25.0,143.29
Manzanar's wife,225.00,30.00,25.0,113.50
Mara Sadat,156.00,31.20,26.0,79.54
Mara Salvatrucha,249.60,31.20,26.0,125.77
Marcello Mastroianni,300.00,30.00,25.0,150.75
Margaret Cho,180.00,30.00,25.0,91.24
Margarita,167.40,37.20,31.0,85.74
Margarita's Boys,249.60,31.20,26.0,125.77
Margarita's Eldest,291.60,32.40,27.0,146.70
Margarita's Family,270.00,30.00,25.0,135.83
Maria Bonita,172.80,28.80,24.0,87.59
Mariachi los Camperos de Nati Cano,510.00,30.00,25.0,255.44
Marilyn Monroe,210.00,30.00,25.0,106.07
Market sellers (205),300.00,30.00,25.0,150.75
Martians,120.00,30.00,25.0,61.85
Martin Luther King,270.00,30.00,25.0,135.83
Mary,60.00,30.00,25.0,33.54
masons,86.40,28.80,24.0,45.54
Matt Groening,195.00,30.00,25.0,98.65
Maxine Waters,187.20,28.80,24.0,94.70
Mayans (and their kids),331.20,28.80,24.0,166.22
Mayor of L.A.,202.80,31.20,26.0,102.59
MC Hammer,129.60,28.80,24.0,66.38
meat-eaters,158.40,28.80,24.0,80.50
men welding fenders,273.60,28.80,24.0,137.56
Menendez Brothers,244.80,28.80,24.0,123.24
merchants,135.00,30.00,25.0,69.15
Mexican Rancheros,244.80,28.80,24.0,123.24
Mexican soldiers,230.40,28.80,24.0,116.10
Mexican wet nurses,270.00,30.00,25.0,135.83
Michael G. Moye,225.00,30.00,25.0,113.50
migrants,124.80,31.20,26.0,64.32
Mike Davis (Quartz City / City of Quartz),615.00,30.00,25.0,307.87
Miles Davis,165.00,30.00,25.0,83.85
Military people,225.00,30.00,25.0,113.50
Miss Saigon,158.40,28.80,24.0,80.50
Mixtecs (and their kids),345.60,28.80,24.0,173.40
MOCA attendees,201.60,28.80,24.0,101.82
Moctezuma,135.00,30.00,25.0,69.15
Mohammed,120.00,30.00,25.0,61.85
Mona,67.20,33.60,28.0,37.57
Montel Williams,225.00,30.00,25.0,113.50
mother in Idaho,225.00,30.00,25.0,113.50
Mother of the dead boy,343.20,31.20,26.0,172.31
Mother with two year old,360.00,30.00,25.0,180.62
mothers of gang-bangers,345.00,30.00,25.0,173.15
Mothers of the Disappeared,390.00,30.00,25.0,195.58
Motley Parade,195.00,30.00,25.0,98.65
Motorcyclist in a pink suit and pink helmet,696.60,32.40,27.0,348.68
Mozart,90.00,30.00,25.0,47.43
MS-13 (Mara Salvatrucha),345.60,28.80,24.0,173.40
Muhammad Ali,180.00,30.00,25.0,91.24
murderers (200),216.00,28.80,24.0,108.96
NAFTA,72.00,28.80,24.0,38.77
National Guard,210.00,30.00,25.0,106.07
Nazis,75.00,30.00,25.0,40.39
Neighbour,135.00,30.00,25.0,69.15
Neruda,90.00,30.00,25.0,47.43
New Age Santa Monicans,316.80,28.80,24.0,159.05
News Copters,180.00,30.00,25.0,91.24
News radio,156.00,31.20,26.0,79.54
NewsNow Copter,218.40,31.20,26.0,110.31
NewsNow Engineer,249.60,31.20,26.0,125.77
NewsNow Realtime on the internet,518.40,32.40,27.0,259.71
Newton Ford,165.00,30.00,25.0,83.85
Nicholas Meyer,210.00,30.00,25.0,106.07
nighttime guard,225.00,30.00,25.0,113.50
Nomo fans,135.00,30.00,25.0,69.15
Noriega,105.00,30.00,25.0,54.60
Northern People,324.00,43.20,36.0,163.43
nurse at station,240.00,30.00,25.0,120.93
NWA,43.20,28.80,24.0,25.96
O.J. Simpson,172.80,28.80,24.0,87.59
occupants of houses,285.00,30.00,25.0,143.29
Oedipus,100.80,28.80,24.0,52.42
Old man,109.20,31.20,26.0,56.78
one hundred mothers at the Plaza de Mayo,600.00,30.00,25.0,300.37
one of the entourage,300.00,30.00,25.0,150.75
Opera crowd,165.00,30.00,25.0,83.85
Oprah Winfrey,187.20,28.80,24.0,94.70
Orange Peddlers,216.00,28.80,24.0,108.96
Organ buyers,194.40,32.40,27.0,98.54
Organ Traffickers,306.00,36.00,30.0,154.06
orphaned kids,195.00,30.00,25.0,98.65
Oscar awards crowd,270.00,30.00,25.0,135.83
other kids,150.00,30.00,25.0,76.49
Our Lady of Guadalupe,302.40,28.80,24.0,151.88
