
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"704","Exchange","Opal Viola Victoria Bear Shield","Loother Red Feather","1","Opal Viola Victoria Bear Shield (III)","164","165"
"708","Knows of","Opal Viola Victoria Bear Shield","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (III)","165","165"
"709","Exchange","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (III)","165","166"
"710","Knows","Opal Viola Victoria Bear Shield","Ronald","1","Opal Viola Victoria Bear Shield (III)","165","165"
"712","Exchange","Opal Viola Victoria Bear Shield","Ronald","1","Opal Viola Victoria Bear Shield (III)","166","167"
"714","Exchange","Opal Viola Victoria Bear Shield","Jacquie Red Feather","1","Opal Viola Victoria Bear Shield (III)","166","167"
"715","Knows of","Opal Viola Victoria Bear Shield","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (III)","166","166"
"717","Knows","Opal Viola Victoria Bear Shield","Two Shoes","0","Opal Viola Victoria Bear Shield (III)","166","166"
"720","Knows of","Opal Viola Victoria Bear Shield","Victoria (Vicky)","0","Opal Viola Victoria Bear Shield (III)","167","167"
"724","Exchange","Opal Viola Victoria Bear Shield","Lucas","1","Opal Viola Victoria Bear Shield (III)","167","170"
"726","Knows of","Opal Viola Victoria Bear Shield","Ronald McDonald","0","Opal Viola Victoria Bear Shield (III)","168","168"
"728","Knows","Opal Viola Victoria Bear Shield","Ronald","0","Opal Viola Victoria Bear Shield (III)","160","170"
"729","Exchange","Opal Viola Victoria Bear Shield","tiger-striped pitbull","1","Opal Viola Victoria Bear Shield (III)","170","170"
"731","Knows of","Opal Viola Victoria Bear Shield","A yelling man","0","Opal Viola Victoria Bear Shield (III)","170","170"
"499","Exchange","Edwin Black","""vet on the bus""","1","Bill Davis (I)","84","84"
"547","Knows","Edwin Black","Edwin Black's Fake Self (63)","0","Edwin Black (I)","63","63"
"548","Knows","Edwin Black","Edwin Black's Fake Self's girlfriend","0","Edwin Black (I)","63","63"
"549","Knows","Edwin Black","Edwin Black's Fake Self's mom","0","Edwin Black (I)","63","63"
"550","Knows","Edwin Black","Edwin Black's Fake Self's dad","0","Edwin Black (I)","63","63"
"554","Knows","Edwin Black","Karen","1","Edwin Black (I)","64","64"
"555","Knows","Edwin Black","Bill Davis","1","Edwin Black (I)","64","64"
"557","Knows of","Edwin Black","Johnny Depp","0","Edwin Black (I)","64","64"
"558","Knows","Edwin Black","Homer Simpson","0","Edwin Black (I)","65","65"
"559","Knows","Edwin Black","Jesus","0","Edwin Black (I)","65","65"
"560","Knows","Edwin Black","Bill Davis","1","Edwin Black (I)","66","66"
"561","Knows","Edwin Black","Karen","1","Edwin Black (I)","66","66"
"562","Knows","Edwin Black","Karen","1","Edwin Black (I)","66","66"
"563","Knows of","Edwin Black","DefeKate Moss","0","Edwin Black (I)","66","66"
"565","Knows","Edwin Black","Karen","1","Edwin Black (I)","68","68"
