
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"1537","Knows","Bill Davis","""Someone"" from Vietnam War","1","Bill Davis (IV)","277","277"
"1538","Knows of","Bill Davis","Police Officers","1","Bill Davis (IV)","277","277"
"1541","Knows","Bill Davis","Big Oakland Powwow","0","Bill Davis (IV)","276","277"
"1562","Exchange","Bill Davis","Calvin Johnson","0","Bill Davis (IV)","276","277"
"1563","Exchange","Bill Davis","Tony Loneman","0","Bill Davis (IV)","276","277"
"1564","Exchange","Bill Davis","Charles","0","Bill Davis (IV)","276","277"
"1565","Exchange","Bill Davis","Carlos","0","Bill Davis (IV)","276","277"
"1566","Exchange","Bill Davis","Octavio Gomez","0","Bill Davis (IV)","276","277"
"331","Exchange","Calvin Johnson","Sonny","1","Calvin Johnson (II) (1)","88","89"
"332","Exchange","Calvin Johnson","Maggie","1","Calvin Johnson (II) (1)","88","89"
"333","Exchange","Calvin Johnson","Carlos","1","Calvin Johnson (II) (1)","89","97"
"334","Exchange","Calvin Johnson","Charles","1","Calvin Johnson (II) (1)","89","97"
"340","Knows","Calvin Johnson","Calvin Johnson's Dad","1","Calvin Johnson (II) (1)","88","88"
