id,Character,Event
260,Jason Compson III,Quentin Jr. gets sent to live with the Compsons
261,Jason Compson IV,Quentin Jr. gets sent to live with the Compsons
262,Jason Compson III,Jason Compson III's funeral
263,Maury Bascomb,Jason Compson III's funeral
264,Caroline Bascomb Compson,Jason Compson III's funeral
265,Jason Compson IV,Jason Compson III's funeral
266,Caddy Compson,Jason Compson III's funeral
267,Grave diggers,Jason Compson III's funeral
268,Benjamin Compson,Jason Compson III's funeral
269,Dilsey Gibson,Jason Compson III's funeral
270,T.P.,Jason Compson III's funeral
271,Caddy Compson,Caddy pays Jason to see Quentin Jr.
272,Jason Compson IV,Caddy pays Jason to see Quentin Jr.
273,Caddy Compson,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows
274,Dilsey Gibson,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows
275,Miss Quentin Compson,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows
276,Jason Compson IV,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows
277,Benjamin Compson,Dilsey lets Caddy see Quentin Jr. and Jason finds out because Benjy bellows
278,Caddy Compson,Caddy visits Jason's office
279,Jason Compson IV,Caddy visits Jason's office
280,Caddy Compson,"Jason takes Caddy's money, forges a check, and gives it to his mother to burn"
281,Miss Quentin Compson,"Jason takes Caddy's money, forges a check, and gives it to his mother to burn"
282,Caroline Bascomb Compson,"Jason takes Caddy's money, forges a check, and gives it to his mother to burn"
283,Jason Compson IV,"Jason takes Caddy's money, forges a check, and gives it to his mother to burn"
284,Jason Compson IV,Jason chases Quentin and the band member with the red tie in his car
285,Miss Quentin Compson,Jason chases Quentin and the band member with the red tie in his car
286,Band member (that Quentin runs off with),Jason chases Quentin and the band member with the red tie in his car
287,Miss Quentin Compson,Quentin Jr. runs away
288,Band member (that Quentin runs off with),Quentin Jr. runs away
289,Dilsey Gibson,The Compsons discover Quentin is missing and Jason discovers his money is missing
290,Caroline Bascomb Compson,The Compsons discover Quentin is missing and Jason discovers his money is missing
291,Jason Compson IV,The Compsons discover Quentin is missing and Jason discovers his money is missing
292,Dilsey Gibson,"Dilsey, Frony, and Luster take Benjy to church"
293,Frony Gibson,"Dilsey, Frony, and Luster take Benjy to church"
294,Luster Gibson,"Dilsey, Frony, and Luster take Benjy to church"
295,Benjamin Compson,"Dilsey, Frony, and Luster take Benjy to church"
296,Reverend Shegog,"Dilsey, Frony, and Luster take Benjy to church"
297,Church-goers,"Dilsey, Frony, and Luster take Benjy to church"
298,Choir,"Dilsey, Frony, and Luster take Benjy to church"
299,Sheriff,The sheriff refuses to help Jason
