Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
30,Charlotte receives Isaac's first letter,2000-01-02,2000-02-28,T,Alma Singer ,101,0,2000-09-14,,101,101,T,"""...in the middle of last February a lettearrived..."" (55).",Charlotte Singer and Isaac Moritz,,,,T,,,T,,,,,
30,Charlotte receives Isaac's first letter,2000-01-02,2000-02-28,T,Alma Singer ,139,0,2000-09-14,,139,140,T,"""...in the middle of last February a lettearrived..."" (55).",Charlotte Singer and Isaac Moritz,,,,T,,,T,,,,,
31,Alma begins searching foAlma Mereminski,2000-07-14,2000-01-08,T,Alma Singer ,109,0,2000-09-14,,108,109,T,"""It was already the end of July"" (102).",Alma Mereminski and Alma Singer,T,,,,,,,,T,,,
32,Alma realises Alma Mereminski had married,2000-08-14,2000-01-09,T,Alma Singer ,149,0,2000-09-14,,149,149,T,"This event happened afteAlma and Misha kissed, but before September: ""I'll be fifteen next month"" (148).",Alma Mereminski and Alma Singer,T,,,,,,,,T,,,
33,Alma and Misha kiss (fothe second time ??),2000-08-14,2000-01-09,T,Alma Singer ,141,0,2000-09-14,,141,142,T,"""TWO WEEKS PASSED, MISHA AND I STILL HADN'T TALKED"" (143). Note: ""...the summebefore, when we were thirteen and stood on the roof of his building, the tasoft undeoufeet, outongues in each other's mouths..."" (141).",Alma Singer and Misha Shklovsky,,,,,,,,,T,T,,
33,Alma and Misha kiss (fothe second time ??),2000-08-14,2000-01-09,T,Alma Singer ,141,0,2000-09-14,,140,141,T,"""TWO WEEKS PASSED, MISHA AND I STILL HADN'T TALKED"" (143). Note: ""...the summebefore, when we were thirteen and stood on the roof of his building, the tasoft undeoufeet, outongues in each other's mouths..."" (141).",Alma Singer and Misha Shklovsky,,,,,,,,,T,T,,
34,Alma reads Bird's journal,2000-08-15,2000-09-28,T,Alma Singer ,149,0,2000-09-14,,149,149,T,This event happened before Alma's fifteenth birthday.,Alma Singer and Bird,,,,,,,,,T,,T,
35,Alma realises Alma Mereminski has died,2000-08-16,2000-09-28,T,Alma Singer ,176,0,2000-09-14,,176,177,T,This event happened before Alma's fifteenth birthday.,Alma Mereminski and Alma Singer,T,,,,,,,,T,,,
36,Alma realises Jacob Marcus is Isaac Moritz,2000-09-14,2000-09-30,T,Alma Singer ,196,0,2000-09-14,,196,196,T,"This event happened eitheon oafte""the morning of [Alma's] fifteenth birthday"" (194) but before she asked Herman to drive heto Isaac's house.","Alma Singer, Isaac Moritz, and Jacob Marcus",,,,T,,,,,T,,,T
38,Alma and Herman go to Isaac's house (Alma leaves hephone numbethere),2000-09-25,,T,Alma Singer ,200,0,2000-05-10,,200,201,T,"""A week and a half later"" is ""Octobe5th"" (202).",Alma Singer and Isaac Moritz,,,,T,,,,,T,,,
38,Alma and Herman go to Isaac's house (Alma leaves hephone numbethere),2000-09-25,,T,Alma Singer ,199,0,2000-05-10,,199,200,T,"""A week and a half later"" is ""Octobe5th"" (202).",Alma Singer and Isaac Moritz,,,,T,,,,,T,,,
42,Alma learns of Isaac's death,2000-05-10,,T,Alma Singer ,202,0,2000-05-10,,201,202,T,"""...Octobe5th..."" (202)",Alma Singer,,,,,,,,,T,,,
49,Alma receives Bird's letter,2000-10-10,2000-10-17,T,Alma Singer ,219,0,2000-10-21,2001-09-14,219,219,T,,Alma Singer and Bird,,,,,,,,,T,,T,
49,Alma receives Bird's letter,2000-10-10,2000-10-17,T,Alma Singer ,233,0,2000-10-21,2001-09-14,233,233,T,,Alma Singer and Bird,,,,,,,,,T,,T,
53,Alma realises Leo wrote The History of Love,2000-10-21,,T,Alma Singer ,251,0,2000-10-21,2001-09-14,251,251,T,,Alma Singer and Leo Gursky,,T,,,,,,,T,,,
