Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Sasha,Bennie,Scotty,Lou,Rob,Lulu
14,Scotty and Bennie reconnect,1997-04-01,1997-04-01,T,3rd-Person,23,23,,,19,38,T,...a disturbing encounter with Scotty...,Bennie and Scotty,F,T,T,F,F,F
14,Scotty and Bennie reconnect,1997-04-01,1997-04-01,T,3rd-Person,333,333,,,310,340,T,"""You brought me a fish.""",Bennie and Scotty,F,T,T,F,F,F
32,Scotty Hausman concert,2020-03-15,2020-03-15,T,3rd-Person,335,335,,,310,340,T,Scotty climbed onto the platform...,"Bennie, Lulu, and Scotty",F,T,T,F,F,T
32,Scotty Hausman concert,2020-03-15,2020-03-15,T,3rd-Person,336,336,,,310,340,T,"""Eyes in My Head,"" ""X;s and O's,"" ""Who's Watching Hardest""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
32,Scotty Hausman concert,2020-03-15,2020-03-15,T,3rd-Person,337,337,,,310,340,T,"""It happens once in your life [...] an event like that.""","Bennie, Lulu, and Scotty",F,T,T,F,F,T
17,September 11th,2001-09-11,2001-09-11,F,3rd-Person,33,33,,,19,38,T,"""How close to--""",,F,F,F,F,F,F
17,September 11th,2001-09-11,2001-09-11,F,3rd-Person,34,34,,,19,38,T,"""Four days.""",,F,F,F,F,F,F
17,September 11th,2001-09-11,2001-09-11,F,3rd-Person,36,36,,,19,38,T,"""...there's just nothing there.""",,F,F,F,F,F,F
17,September 11th,2001-09-11,2001-09-11,F,3rd-Person,119,119,,,111,136,T,...the impact of 9/11 on the lives of inmates...,,F,F,F,F,F,F
17,September 11th,2001-09-11,2001-09-11,F,3rd-Person,123,123,,,111,136,T,"""Buildings are missing.""",,F,F,F,F,F,F
17,September 11th,2001-09-11,2001-09-11,F,3rd-Person,331,331,,,310,340,T,The weight of what had happened here...,,F,F,F,F,F,F
17,September 11th ,2001-09-11,2001-09-11,F,3rd-Person,12,12,,,3,18,T,...without the World Trade Center...,,F,F,F,F,F,F
22,Stephanie divorces Bennie,2004-06-21,2004-12-31,T,3rd-Person,21,21,,,19,38,T,The divorce from Stephanie?,Bennie,F,T,F,F,F,F
22,Stephanie divorces Bennie,2004-06-21,2004-12-31,T,3rd-Person,333,333,,,310,340,T,"""...when Steph threw me out...""",Bennie,F,T,F,F,F,F
9,Ted meets Sasha in Naples,1989-04-15,1989-04-15,T,3rd-Person,215,215,,,208,233,T,Ted recognized the cigarette buyer as his niece.,Sasha,T,F,F,F,F,F
9,Ted meets Sasha in Naples,1989-04-15,1989-04-15,T,3rd-Person,216,216,,,208,233,T,"""Is that?"" she stammered ""Uncle—""",Sasha,T,F,F,F,F,F
9,Ted meets Sasha in Naples,1989-04-15,1989-04-15,T,3rd-Person,217,217,,,208,233,T,...he had located her daughter...,Sasha,T,F,F,F,F,F
26,The Party,2006-12-31,2006-12-31,F,3rd-Person,22,22,,,19,38,T,"""The Party""",Bennie,F,T,F,F,F,F
26,The Party,2006-12-31,2006-12-31,F,3rd-Person,141,141,,,137,165,T,The Party...,Bennie,F,T,F,F,F,F
12,Rob drowns,1993-03-01,1993-03-01,T,Alison,272,272,2026-07-02,2026-07-02,234,309,T,...and Rob drowned.,Rob and Sasha,T,F,F,F,T,F
12,Rob drowns,1993-03-01,1993-03-01,T,Alison,273,273,2026-07-02,2026-07-02,234,309,T,"""...he got caught in a current.""",Rob and Sasha,T,F,F,F,T,F
12,Rob drowns,1993-03-01,1993-03-01,T,Alison,290,290,2026-07-02,2026-07-02,234,309,T,"""Did she forgive you when Rob drowned?""",Rob and Sasha,T,F,F,F,T,F
12,Rob drowns,1993-03-01,1993-03-01,T,Alison,292,292,2026-07-02,2026-07-02,234,309,T,"""But it wasn't your fault, right?""",Rob and Sasha,T,F,F,F,T,F
30,Sasha and Drew marry,2008-07-01,2008-07-31,T,Alison,255,255,2026-07-02,2026-07-02,234,309,T,...she married Drew in 2008... (The Candy House 49),Sasha,T,F,F,F,F,F
4,Jocelyn meets Lou,1979-04-01,1979-04-01,T,Jocelyn,87,87,2006-10-31,2006-10-31,84,91,T,...when I met Lou.,"Bennie, Lou, and Scotty",F,T,T,T,F,F
