character_id,character_name,character_novel_id_fk
640,Lorraine,9
641,Maid,9
642,Man (who made money selling rotten goods),9
643,'[G]rafters in the Mayor's office',9
644,Lady (customer in the hardware store),9
645,Herbert Head,9
646,God,9
647,Grave diggers,9
648,Mink,9
649,People at the livery stable,9
650,Customer(s) (at the hardware store),9
651,Customer (who comes in with Earl),9
652,Old Man Simmons,9
653,I.O. Snopes,9
654,Man (Jason sent to fetch his car),9
655,The Band (in town),9
656,Buck Turpin,9
658,Band member (that Quentin runs off with),9
659,Boy with a telegram,9
660,Man (Jason talks to at 'the first forks'),9
661,Ab Russell,9
662,Parson Walthall,9
663,Mac,9
664,Babe Ruth,9
665,Mr. Burgess,9
666,Little girl (Benjy ran after),9
667,'the soldier',9
668,'caddie',9
669,Mr. Patterson,9
670,Mrs. Patterson,9
671,People washing at the branch,9
672,Band member (who can play the saw),9
673,Damuddy,9
674,'the old skizzard',9
675,Doctor,9
676,Jesus (TSATF),9
677,Sis Beulah Clay,9
680,Satan,9
681,Charlie,9
683,Teachers,9
684,Gerald Bland,9
685,Charles Stuart Compson,9
686,Family woman,9
687,Possum hunters,9
688,Black people,9
689,Sheriff,9
690,Governer,9
691,Reverend Shegog,9
692,Saint Francis,9
693,Shreve,9
694,Dean of Harvard,9
695,Students of Harvard,9
696,Spoade,9
697,Southern men,9
698,Dalton Ames,9
699,Dalton Ames' mother,9
700,Dalton Ames' father,9
701,George Washington,9
702,People in cabins (who greet Dilsey),9
703,Police,9
704,Square students,9
705,Deacon (TSATF),9
706,Giuseppe Garibaldi,9
707,Christopher Columbus,9
708,People in cabins (who stare at Ben),9
709,Old people (who greet Dilsey),9
710,Parker (a restaurant owner),9
711,Girl (at the cigar shop),9
712,Bootblack (who Quentin gives a cigar to),9
713,Bootblack (who Quentin gives a nickel to),9
714,Church-goers,9
715,Horologist,9
716,Choir,9
717,'six small children' (walk down the aisle at churc,9
718,'The second man' (who walks down the aisle at chur,9
719,'a fellow',9
720,'n*****s',9
721,Jeweller,9
722,Hardware store clerk,9
723,'a n***** ',9
724,Southerners,9
725,Northerners,9
726,'a gentleman',9
727,White people,9
728,'a grandparent',9
729,Woman (soprano),9
730,Mary,9
731,'troublesome children',9
732,'country folks',9
733,Miss Laura,9
734,Henry,9
735,Hernando de Soto,9
736,Other Church-goers,9
737,School students,9
738,Natalie,9
739,'women in the car',9
740,'men in work-clothes',9
741,'man naked to the waist',9
742,'man in a straw hat',9
743,Myrtle,9
744,Myrtle's husband,9
745,Man and Woman passing (the sheriff's office),9
746,Gas station attendant,9
747,Church owner (Jason imagines striking down),9
748,Soldiers (Jason imagines),9
749,People at the filling station,9
750,Man (in a dirty apron),9
751,Man (who runs the show),9
752,Man (at the drugstore),9
753,First boy (Jason asks to drive his car to Jefferso,9
754,Second boy (Jason asks to drive his car to Jeffers,9
755,People (in Easter Sunday clothes),9
756,Man (who drives Jason back to Jefferson),9
757,Group of boys (that talk to Luster),9
758,Crew (that Quentin watches),9
759,'drowned man' (that Quentin thinks about),9
761,Mrs. Bland,9
762,Two men (that Quentin watches),9
763,Oxford students,9
764,'folks at the boathouse',9
765,'policeman',9
766,An arctic explorer,9
767,'Gerald's n*****s',9
768,'Gerald's women',9
769,'Husbands and fathers in Kentucky',9
770,'some misfit Maingault or Mortemar',9
771,'lodge-keeper's daughter',9
772,'pimple-faced infant' (that Caddy met),9
773,'n****r women',9
774,Louis Hatcher,9
775,Young Lochinvar,9
776,Byron,9
777,'country girls',9
778,'country people',9
779,Bascomb family,9
780,Patterson boy,9
781,'women',9
782,'freshmen',9
783,Uncle Tom,9
784,'white boy of about fifteen',9
785,Abraham Lincoln,9
786,'dead and departed professors',9
787,'vet'runs',9
788,'ladies,9
789,Deacon's son-in-law,9
790,'young fellows',9
791,'chauffeur',9
792,'people' (waiting for the trolley),9
793,Man that Quentin talks to about the trolley,9
794,'miners',9
795,'proctor' (that Mrs. Bland went to),9
796,Gerald Bland's servant,9
797,Sawmill husband,9
798,Herbert Head's friend (in Havana),9
799,'hicks',9
800,Herbert Head's sons,9
801,'little widow' (in Cambridge),9
802,Galahad,9
803,'man' (with a parrot),9
804,'cousins' (?),9
805,'manicure girls' (?),9
806,'old man' (eating something),9
807,'they' (told Quentin his leg would have to be brok,9
808,'old woman' (that Louis spoke to),9
809,Martha,9
810,'man' (who mutilated himself),9
811,First boy (Quentin meets on the bridge),9
812,Second boy (Quentin meets on the bridge),9
813,Third boy (Quentin meets on the bridge),9
814,'man' (with a $25 horse and wagon),9
815,Bigelow,9
816,'fellows' (scaring all the fish away),9
817,Little Italian girl,9
818,'lady' (at the Cambridge bakery),9
819,Doc Peabody,9
820,First man (in front of a store),9
821,Second man (in front of a store),9
822,Anse,9
823,'man' (at the livery stable),9
824,'man' (at the postoffice),9
825,'man' (who showed Quentin the station),9
826,Italian woman,9
827,Boy (who kissed Caddy),9
828,Italian girl's mother,9
829,Italian girl's father,9
830,Julio,9
831,Squire,9
832,First of Anse's men,9
833,Second of Anse's men,9
834,'people' (who follow Quentin and Anse),9
835,'girl' (with Gerald Bland),9
836,Miss Holmes,9
837,Miss Daingerfield,9
838,Mr. MacKenzie,9
839,Euboeleus,9
840,Gerald Bland's grandfather,9
841,Wilkie,9
842,'man' (watching Quentin),9
843,'woman' (crossed the door),9
844,Mike,9
845,'wench' (who Quentin stood up),9
846,Leda,9
847,'woman' (across the aisle),9
848,'three policemen',9
849,Black man,9
850,Trolley conductor,9
851,Moses (TSATF),9
852,'town squirts',9
853,Cupid,9
854,'men',9
855,Compson family,9
856,Colonel Sartoris,9
