source,target,Character 1,Character 2,type,weight,startPage,OriginalstartPage,category
14,57,real Barbeau,Macmillan Company of Canada,Directed,0.1,5.3,53,Knows
14,7,real Barbeau,"Oyee (""Oyai"")",Directed,0.1,5.3,53,Knows of
14,2,real Barbeau,Sagaween (Laxsgiik),Directed,0.1,5.3,53,Knows
2,54,Sagaween (Laxsgiik),"""ancestors of Eagles""",Directed,0.1,5.3,53,Knows of
2,55,Sagaween (Laxsgiik),"""ancestors of Wolves""",Directed,0.1,5.3,53,Knows
2,3,Sagaween (Laxsgiik),"""Eagle-Raven clan""",Directed,0.1,5.3,53,Knows
2,6,Sagaween (Laxsgiik),"""Hladerh"" (Laxgibuu)",Directed,0.1,5.3,53,Exchange
2,5,Sagaween (Laxsgiik),"""Sispagut"" (Gisk'aast)",Directed,0.1,5.3,53,Knows
2,4,Sagaween (Laxsgiik),"Gisk'aast (""Killer Whale Clan"")",Directed,0.1,5.3,53,Knows
2,20,Sagaween (Laxsgiik),"Laxgibuu (""Wolf clan"")",Directed,0.1,5.3,53,Knows
