Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Damuddy,Caroline Bascomb Compson,Jason Compson III,Quentin Compson III,Caddy Compson,Benjamin Compson,Jason Compson IV,Versh Gibson,Frony Gibson,T.P.,Roskus Gibson,Dilsey Gibson,Mr. Patterson,Mrs. Patterson,Maury Bascomb,Charlie,Herbert Head,Little girl (Benjy ran after),Doctor,Miss Quentin Compson,Grave diggers,Band member (that Quentin runs off with),Luster Gibson,Reverend Shegog,Church-goers,Choir,Sheriff,Man (in a dirty apron),Man (who runs the show),Dalton Ames,Shreve
6,Benjamin's pasture sold so Quentin can go to Harvard,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),262.0,262.0,1928-04-06,1928-04-06,180.0,264.0,F,Dates collected from Ross and Polk,,,T,T,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),129.0,129.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
5,Quentin sees Caddy and Dalton,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),124.0,124.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,T,
8,Caddy and Charlie hook up,1909-01-01,1909-01-01,T,Benjamin Compson (narrator),48.0,48.0,1928-04-07,1928-04-07,3.0,75.0,F,Dates collected from Ross and Polk,,,,,,T,T,,,,,,,,,,T,,,,,,,,,,,,,,,
8,Caddy and Charlie hook up,1909-01-01,1909-01-01,T,Jason Compson IV (narrator),229.0,229.0,1928-04-06,1928-04-06,180.0,264.0,F,Dates collected from Ross and Polk,,,,,,T,T,,,,,,,,,,T,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),147.0,147.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),149.0,149.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Quentin confronts Caddy at the creek,1909-01-01,1909-01-01,T,Quentin Compson III (narrator),150.0,150.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),79.0,79.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
10,Quentin tells his father he has committed incest,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),77.0,77.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Quentin tells his father he has committed incest,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),79.0,79.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Quentin tells his father he has committed incest,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),148.0,148.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Quentin tells his father he has committed incest,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),95.0,95.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Quentin tells his father he has committed incest,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),177.0,177.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),163.0,163.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),162.0,162.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),160.0,160.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),159.0,159.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),158.0,158.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
9,Quentin confronts Dalton,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),92.0,92.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,T,
10,Quentin tells his father he has committed incest,1909-08-01,1909-09-01,T,Quentin Compson III (narrator),176.0,176.0,1910-06-02,1910-06-02,76.0,179.0,F,Dates collected from Ross and Polk,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
