id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
402,"Exchange","Dudley Dursley","Harry Potter","1","The Boy Who Lived","18","18"
403,"Knows","People in the Wizarding World","Harry Potter","0","The Boy Who Lived","18","18"
404,"Knows","Harry Potter","Lily Potter","1","Through the Trapdoor","197","197"
405,"Exchange","Petunia Dursley","Harry Potter","1","The Vanishing Glass","19","20"
406,"Knows","Vernon Dursley","Harry Potter","1","The Vanishing Glass","19","19"
407,"Knows","Petunia Dursley","Vernon Dursley","1","The Vanishing Glass","19","20"
408,"Knows","Vernon Dursley","Owls","0","The Vanishing Glass","19","19"
409,"Exchange","Vernon Dursley","Dudley Dursley","1","The Vanishing Glass","19","19"
411,"Knows","Harry Potter","Dudley Dursley","1","The Vanishing Glass","19","21"
412,"Knows","Petunia Dursley","Dudley Dursley","1","The Vanishing Glass","20","20"
413,"Knows","Harry Potter","Lily Potter","1","The Vanishing Glass","20","20"
414,"Knows","Harry Potter","James Potter","1","The Vanishing Glass","20","20"
415,"Knows","Lily Potter","James Potter","1","The Vanishing Glass","20","20"
416,"Knows","Petunia Dursley","Lily Potter","1","The Vanishing Glass","20","20"
417,"Knows","Petunia Dursley","James Potter","1","The Vanishing Glass","20","20"
418,"Exchange","Petunia Dursley","Dudley Dursley","1","The Vanishing Glass","21","22"
419,"Exchange","Vernon Dursley","Petunia Dursley","1","The Vanishing Glass","21","22"
420,"Knows","Vernon Dursley","Mrs. Figg","1","The Vanishing Glass","21","21"
421,"Knows","Dudley Dursley","Mrs. Figg","1","The Vanishing Glass","21","21"
422,"Knows","Harry Potter","Mrs. Figg","1","The Vanishing Glass","21","22"
423,"Knows","Mrs. Figg","Tibbies","1","The Vanishing Glass","22","22"
424,"Knows","Mrs. Figg","Snowy","1","The Vanishing Glass","22","22"
425,"Knows","Mrs. Figg","Mr Paws","1","The Vanishing Glass","22","22"
426,"Knows","Mrs. Figg","Tufty","1","The Vanishing Glass","22","22"
427,"Knows","Harry Potter","Snowy","1","The Vanishing Glass","22","22"
428,"Knows","Harry Potter","Tibbies","1","The Vanishing Glass","22","22"
429,"Knows","Harry Potter","Mr Paws","1","The Vanishing Glass","22","22"
430,"Knows","Harry Potter","Tufty","1","The Vanishing Glass","22","22"
