id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel
13,The Keeper of the Keys,level 1 (section),39,48,[NULL],[NULL],[NULL],224,Exchange,Rubeus Hagrid,Petunia Dursley,1,The Keeper of the Keys,47,47
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],227,Exchange,Albus Dumbledore,Harry Potter,1,The Man with Two Faces,214,218
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],228,Knows,Albus Dumbledore,Professor Quirell,1,The Man with Two Faces,214,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],229,Knows,Albus Dumbledore,Madam Pomfrey,1,The Man with Two Faces,214,214
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],230,Knows,Albus Dumbledore,Fred Weasley,1,The Man with Two Faces,214,214
13,The Keeper of the Keys,level 1 (section),39,48,[NULL],[NULL],[NULL],231,Knows of,People in the Wizarding World,Harry Potter,1,The Keeper of the Keys,46,47
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],232,Knows,Albus Dumbledore,George Weasley,1,The Man with Two Faces,214,214
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],233,Knows,Albus Dumbledore,Hermione Granger,1,The Man with Two Faces,215,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],234,Knows,Albus Dumbledore,Ronald Weasley,1,The Man with Two Faces,215,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],237,Knows of,Harry Potter,Nicolas Flamel,1,The Man with Two Faces,215,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],238,Exchange,Albus Dumbledore,Nicolas Flamel,1,The Man with Two Faces,215,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],239,Knows of,Harry Potter,Perenelle Flamel,1,The Man with Two Faces,215,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],240,Knows,Albus Dumbledore,Perenelle Flamel,1,The Man with Two Faces,215,215
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],242,Knows,Harry Potter,Voldemort,1,The Man with Two Faces,216,216
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],243,Knows,Albus Dumbledore,Voldemort,1,The Man with Two Faces,216,216
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],244,Knows,Albus Dumbledore,Professor Quirell,1,The Man with Two Faces,216,216
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],246,Knows,Albus Dumbledore,James Potter,1,The Man with Two Faces,217,217
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],247,Knows,Harry Potter,Professor Quirell,1,The Man with Two Faces,217,217
10,The Man with Two Faces,level 1 (section),209,223,[NULL],[NULL],[NULL],248,Knows,Harry Potter,Severus Snape,1,The Man with Two Faces,217,217
